General,,,,,,,,,,,,,,,Engine,,,,,,Pump,Boiler,,,,Rail,,,,Accessory
Project No,AKA,Date,Title,Notes,Original Link,Video,Sheets,Comments,Issues,Keywords,Lubrication,Height,Length,Width,Type,Orientation,Cylinders,Reverser,Bore,Stroke,,Type,Orrientation,Volume,Volume mm^3,Type,Style,Fuel,Gauge,Type
05A-08-00,, Jul 2024,HOT AIR STIRLING ENGINE (HEISSLUFTMOTOR) TO THE DESIGN OF FRANK ARBEITER,,www.modelesavapeur.com/telechargements9/05a-08.pdf,,3,,"Raster scan, not vectors. Dowsn't list bore or stroke, and I'm not sure which is the power piston",,None,120.0,126.8,90.0,Stirling,,,No,,,,,,,,,,,,
09B-50-00,, Aug 2025,1 CYLINDER NON REVERSABLE HORIZONTAL STEAM ENGINE (BORE=22mm STROKE=32mm),"THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED OCT-2017. NO SCALE INDICATED",www.modelesavapeur.com/mapage/09b-50-00.pdf,,3,,,,Oil cups,111.5,260.5,105.0,Valve gear,Horizontal,1,No,22,32,,,,,,,,,,
09B-51-00,, Aug 2025,2 CYLINDER NON REVERSABLE HORIZONTAL STEAM ENGINE (BORE=22mm STROKE=32mm),"THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED JUNE-2018. NO SCALE INDICATED.",www.modelesavapeur.com/mapage/09b-51-00.pdf,,3,,,,Oil points,123.5,166.0,260.5,Valve gear,Horizontal,2,No,22,32,,,,,,,,,,
09C-64-00,, Dec 2024,"A VERTICAL STEAM ENGINE, REVERSABLE, CALLED ""KACIO LS1-14"" (B=30mm S=34mm)","THE ENGINE SHOWN ON MY DRAWINGS IS LOOSELY BASED ON DRAWINGS WHICH I FOUND ON THE INTERNET. THE ORIGINAL DRAWING DID NOT HAVE THE AUTHOR, DRAFTER, DATE, BORDER AND TITLE. ON THE VALVE CHEST COVER THE FOLLOWING ENGRAVING: ""KACIO LS1-14"".",www.modelesavapeur.com/telechargements8/a-vertcal-steam-engine-reversible-called-kacio-ls1-14.pdf,,4,1 cylinder variant of 09C-64-01,,,"Displacement lubricator, 1 oil cup feeding the column, 2 oil cups for the crankshaft, oil points",259.0,208.4,168.5,Valve gear,Vertical,1,Yes,30,34,,,,,,,,,,
09C-64-01,, Apr 2025,"A VERTICAL STEAM ENGINE, REVERSABLE, CALLED ""KACIO LS2-14"" (B=30mm S=34mm)","THE ENGINE SHOWN ON MY DRAWINGS IS LOOSELY BASED ON DRAWINGS WHICH I FOUND ON THE INTERNET. THE ORIGINAL DRAWING DID NOT HAVE THE AUTHOR, DRAFTER, DATE, BORDER AND TITLE. ON THE VALVE CHEST COVER THE FOLLOWING ENGRAVING: ""KACIO LS2-14"".",www.modelesavapeur.com/telechargements1/09c-64-01-fichier.pdf,,5,2 cylinder variant of 09C-64-00. Similar to 09C-75-00-1,,,"Displacement lubricator, 2 oil cups feeding the columns, 3 oil cups for the crankshaft, oil points",259.0,251.5,205.0,Valve gear,Vertical,2,Yes,30,34,,,,,,,,,,
09C-71-00,, Aug 2025,1 CYLINDER NON REVERSABLE VERTICAL STEAM ENGINE (BORE=22mm STROKE=32mm),"THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED SEPT-2018. NO SCALE INDICATED.",www.modelesavapeur.com/mapage/09c-71-00.pdf,,3,,,,Oil points,257.0,120.0,103.4,Valve gear,Vertical,3,No,22,32,,,,,,,,,,
09C-72-00,, Aug 2025,1 CYL. VERT. STM. ENG. USING REULEAUX'S TRAPEZIUM CON-ROD (B=30mm/S=52mm),"THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON SOME DRAWINGS WHICH I FOUND ON THE INTERNET. THE DRAWINGS AND ARTICLES WERE PUBLISHED IN ""ENGINEERING IN MINIATURE"" MAGAZINE DATED 1997 UNDER THE TITLE ""REULEAUX'S TRAPEZIUM CONNECTING ROD ENGINE"". THE DESIGN AND DESCRIPTION WERE BY ANTHONY MOUNT.",www.modelesavapeur.com/mapage/09c-72-00.pdf,,6,,,Trapezium,"2 oil cups for the crankshaft, oil points",395.5,370.0,240.0,Valve gear,Vertical,1,No,30,52,,,,,,,,,,
09C-73-00,, Aug 2025,2 CYLINDER NON REVERSABLE VERTICAL STEAM ENGINE (BORE=22mm STROKE=32mm),"THE ENGINE SHOWN ON THESE DRAWINGS ARE LOOSLY BASED ON A UNDIMENSIONED DRAWING AND PICTURES WHICH I FOUND ON THE INTERNET. THE DRAWING WAS DRAWN BY SIMON ROWLEY, AND DATED SEPT-2018. NO SCALE INDICATED.",www.modelesavapeur.com/mapage/09c-73-00.pdf,,3,,,,Oil points,249.0,120.0,112.0,Valve gear,Vertical,2,No,22,32,,,,,,,,,,
09C-74-00,, Sep 2025,1 CYLINDER VERTICAL NON REVERSABLE STEAM ENGINE (BORE=50mm STROKE=60mm),"FOUND THE ORIGINAL DRAWINGS ON THE INTERNET. THE ORIGINAL DRAWINGS WERE DRAWN BY JOHN DOWNS? DATED 21/11/2016? TITLE: ""STEAM ENGINE NUMBER ONE"".",www.modelesavapeur.com/mapage/09c-74-00.pdf,,3,,,,Oil points,415.6,230.0,172.0,Valve gear,Vertical,1,No,50,60,,,,,,,,,,
09C-75-00-1,, Sep 2025,2 CYLINDER VERTICAL STEAM ENGINE WITH REVERSER (BORE=40mm STROKE=40mm),"THE ENGINE SHOWN ON THESE DRAWINGS IS LOOSLY BASED ON SOME DRAWINGS WHICH I FOUND ON THE INTERNET. THE DRAWINGS WERE BY J.GALBA, DATED 13-02-2010. I HAVE DRAWN A SIMULAR ENGINE UNDER PROJECT NUMBER 09C-45-00 DATED MAY 2020",www.modelesavapeur.com/mapage/09c-75-00-1.pdf,,5,Similar to 09C-64-01,,,"3 oil cups for the crankshaft, oil points",348.0,400.0,300.0,Valve gear,Vertical,2,Yes,40,40,,,,,,,,,,
09C-75-00-2,, Sep 2025,2 CYLINDER VERTICAL STEAM ENGINE WITH REVERSER (BORE=1-37/64 STROKE=1-37/64),"THE ENGINE SHOWN ON THESE DRAWINGS IS LOOSLY BASED ON SOME DRAWINGS WHICH I FOUND ON THE INTERNET. THE DRAWINGS WERE BY J.GALBA, DATED 13-02-2010. I HAVE DRAWN A SIMULAR ENGINE UNDER PROJECT NUMBER 09C-45-00 DATED MAY 2020",www.modelesavapeur.com/mapage/09c-75-00-2.pdf,,5,Imperial version of 09c-75-00-1. Similar to 09C-64-01,,Imperial,"3 oil cups for the crankshaft, oil points",348.0,400.0,300.0,Valve gear,Vertical,2,Yes,40,40,,,,,,,,,,
